,Date,Month,Day,Label,Description,Link,Secondary Link
0,2-6-17,February,Monday,Council votes to remove statue,The Charlottesville City Council votes (3-2) to remove the statue of Robert E. Lee.,http://wset.com/news/local/charlottesville-city-council-votes-to-remove-lee-statue,
1,22-3-17,March,Wednesday,Lawsuit filed opposing statue removal,A lawsuit is filed to keep the statue in Charlottesville claiming the removal would violate terms of its donation and go against laws about war statues.,http://wset.com/news/local/lawsuit-filed-to-keep-lee-statue-in-charlottesville,
2,17-4-17,April,Monday,Council votes to sell statue,The Charlottesville City Council voted 3-2 to sell the city’s statue of Confederate Gen. Robert E. Lee.,,
3,13-5-17,May,Monday,Protestors and counter-protestors in Robert E. Lee park,A group protesting the removal of the statue gathered with torches in Robert E. Lee park and were met by counter-protestors.,,
4,6-5-17,June,Monday,Council votes to rename city parks,Robert E. Lee and Stonewall Jackson park are renamed Emancipation and Justice Park after the Charlottesville City Council voted (5-0).,https://twitter.com/MikeSigner/status/871910930065625088,
5,7-6-17,July,Thursday,Plaque removed,A plaque is removed from in front of the Robert E. Lee statue.,https://twitter.com/MikeSigner/status/882945699821834243,
6,7-8-17,July,Saturday,KKK members protest in Justice park,"Roughly 50 KKK members from North Carolina gathered at Justice Park shouting “white power”. Over 1,000 people protested their presence by throwing water bottles, apple cores, and insulting them. When KKK members tried to leave counter protesters blocked their cars. The police declared the blocking of the cars an unlawful gathering and forced counter-protestors back. Following the departure of KKK members the crowd gathered again and refused to disperse until tear gas was used. Twenty-three people were arrested.",,
7,8-10-17,August,Thursday,"Lawsuit filed opposing the movement of ""Unite the Right"" rally","Jason Kessler, organizer of the ""Unite the Right"" rally, files a federal lawsuit against the city of Charlottesville, Virginia after they move his white nationalist demonstration from Emancipation Park to McIntire Park.",http://www.cavalierdaily.com/article/2017/08/kessler-sues-city-over-decision-to-move-unite-the-right-rally,
8,8-11-17,August,Friday,"""Unite the Right"" march starts","A group of white nationalists carrying torches marched through the University of Virginia's campus in Charlottesville, Virginia.",http://wjla.com/news/local/protesters-clash-as-white-nationalist-marched-with-torches-at-university-of-virginia,
9,8-12-17,August,Saturday,"White nationals and counter-protestors clash, and Heather Heyer is killed","Violence breaks out between protesters and counter-protesters. A Dodge Challenger rams into a group of counter-protesters, killing one 32-year-old woman and injuring at least 19 others. Trump speaks from his vacation in Bedminster, New Jersey; condemning the violence, he says blame for the events lay on ""many sides."" The sweeping statement earned him criticism from some parties and placed pressure on fellow Republicans to more vehemently condemn the racist viewpoints behind the rally. A Virginia State Police helicopter crashed near Charlottesville, killing the two state troopers riding inside.",https://twitter.com/VSPPIO/status/896379422143639552,https://twitter.com/VSPPIO/status/896434685206822912
10,13-8-17,August,Sunday,"Rallies and vigils held, and violence erupts nationwide","Rallies and vigils are held across the country in honor of the three dead and dozens more injured. In Seattle and elsewhere, some demonstrations turn violent, with protesters clashing with police.",,
11,14-8-17,August,Monday,Fields appears in court,"James Alex Fields, Jr., makes his first court appearance. No bond is set for the suspect.",,
12,16-8-17,August,Wednesday,Former Presidents advise Trump,"Regarding the earlier violence in Charlottesville, former presidents George H.W. Bush and George W. Bush call upon incumbent President Trump to ""reject racial bigotry, anti-Semitism and hatred in all forms.""",,
13,18-8-17,August,Friday,"Mass resignation, and Bannon is fired","A mass resignation of the President's Committee on the Arts and Humanities is made in protest against Trump's response to the Unite the Right rally in Charlottesville, Virginia. Steve Bannon is fired from his positions as the White House Chief Strategist and Senior Counselor to the President. In a statement later, he says ""The Trump presidency we fought for and won is over. We still have this huge movement, and there'll be good days and bad days, but that presidency is over.""",https://www.bostonglobe.com/lifestyle/names/2017/08/18/president-committee-arts-and-humanities-resigns-masse/Y0mMiOWEjtr0WbuFNZ45dJ/story.html,https://www.weeklystandard.com/peter-j-boyer/bannon-the-trump-presidency-that-we-fought-for-and-won-is-over
14,19-8-17,August,Saturday,"Boston counter-protestors, and Mnuchin defends Trump","Up to 30,000 people gather on Boston Common to protest a right-wing rally, motivated in part as a response to the recent Unite the Right rally in Charlottesville. Treasury Secretary Steven Mnuchin publicly defended President Trump’s response to Yale classmates and Jewish critics in the most vociferous defense of the President since the “Unite to Right” protest.",https://www.npr.org/2017/08/19/544727385/massive-group-of-counter-protesters-met-free-speech-rally-in-boston,https://www.cbsnews.com/news/mnuchin-says-hes-staying-at-treasury-defends-trump-after-classmates-call-to-resign/
